date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-05-12 19:30:00,FC Dallas,Los Angeles Galaxy,3,2,-0.75,1.8199999999999998,2.08,+3,1.97,1.9100000000000001
2018-05-12 23:30:00,Columbus Crew,Chicago Fire,3,0,-1.25,1.96,1.94,+3,1.88,1.99
2018-05-12 23:30:00,New England Revolution,Toronto FC,3,2,-0.5,1.94,1.96,+3,2.0,1.88
2018-05-13 01:00:00,Real Salt Lake,DC United,3,2,-0.5,1.85,2.05,+3,2.05,1.83
2018-05-13 01:00:00,Colorado Rapids,New York Red Bulls,1,2,+0.25,1.95,1.94,+2.5,1.85,2.04
2018-05-13 20:00:00,Portland Timbers,Seattle Sounders,1,0,-0.5,2.0300000000000002,1.87,+2.5,1.97,1.9100000000000001
2018-05-13 22:00:00,Orlando City,Atlanta Utd,1,2,0,2.1100000000000003,1.81,+3.5,2.0300000000000002,1.85
2018-05-14 00:30:00,Los Angeles FC,New York City,2,2,-0.25,1.83,2.0700000000000003,+3.25,1.99,1.88
2018-05-17 02:30:00,Vancouver Whitecaps,San Jose Earthquakes,2,2,-0.75,1.88,2.02,+3,1.98,1.9
2018-05-19 00:00:00,Toronto FC,Orlando City,2,1,-0.75,1.88,2.02,+3.25,2.01,1.87
2018-05-19 17:00:00,New York City,Colorado Rapids,4,0,-1.25,1.88,2.02,+3,2.01,1.87
2018-05-19 19:00:00,Portland Timbers,Los Angeles FC,2,1,-0.25,1.9300000000000002,1.97,+3,1.88,2.0
2018-05-19 20:00:00,FC Dallas,Vancouver Whitecaps,2,2,-1,1.85,2.05,+3,2.0,1.88
2018-05-19 23:30:00,Philadelphia Union,Real Salt Lake,4,1,-0.75,1.9300000000000002,1.97,+3,1.92,1.96
2018-05-19 23:30:00,New England Revolution,Columbus Crew,0,1,-0.25,2.04,1.8599999999999999,+3,2.02,1.85
2018-05-20 02:30:00,San Jose Earthquakes,DC United,1,3,-0.5,2.05,1.85,+2.75,1.92,1.97
2018-05-20 18:00:00,Minnesota United,Sporting Kansas City,1,1,+0.5,1.94,1.96,+2.75,1.94,1.9300000000000002
2018-05-20 20:00:00,Chicago Fire,Houston Dynamo,2,3,-0.25,2.04,1.8599999999999999,+3,2.0300000000000002,1.85
2018-05-20 23:00:00,Atlanta Utd,New York Red Bulls,1,3,-0.75,1.96,1.9300000000000002,+3.25,1.98,1.9
2018-05-21 19:00:00,Club de Foot Montreal,Los Angeles Galaxy,0,1,0,1.96,1.94,+3.25,1.95,1.9300000000000002
2018-05-26 00:00:00,Toronto FC,FC Dallas,0,1,-0.75,2.0700000000000003,1.83,+2.5,1.96,1.9300000000000002
2018-05-26 00:55:00,Houston Dynamo,New York City,3,1,-0.25,1.85,2.05,+2.75,1.8599999999999999,2.01
2018-05-26 03:00:00,Los Angeles Galaxy,San Jose Earthquakes,1,0,-1,1.97,1.9300000000000002,+3.25,2.01,1.87
2018-05-26 21:00:00,Seattle Sounders,Real Salt Lake,0,1,-1,1.88,2.02,+2.75,1.95,1.9300000000000002
2018-05-26 21:30:00,Vancouver Whitecaps,New England Revolution,3,3,-0.5,2.02,1.88,+2.75,1.8900000000000001,1.98
2018-05-26 23:00:00,New York Red Bulls,Philadelphia Union,0,0,-1,1.8399999999999999,2.0700000000000003,+2.75,1.8199999999999998,2.0700000000000003
2018-05-26 23:30:00,Orlando City,Chicago Fire,1,2,-0.5,2.04,1.8399999999999999,+3.25,2.04,1.8199999999999998
2018-05-27 00:00:00,Minnesota United,Club de Foot Montreal,2,0,-0.25,1.9300000000000002,1.95,+3,2.0300000000000002,1.83
2018-05-27 01:00:00,Colorado Rapids,Portland Timbers,2,3,0,1.9100000000000001,1.97,+2.5,1.92,1.95
2018-05-27 02:00:00,Los Angeles FC,DC United,1,1,-1.25,1.92,1.96,+3.25,2.0,1.8599999999999999
2018-05-27 22:00:00,Sporting Kansas City,Columbus Crew,0,0,-0.75,1.97,1.9300000000000002,+2.5,1.87,2.01
2018-05-30 23:30:00,New England Revolution,Atlanta Utd,1,1,0,1.8199999999999998,2.09,+3,1.95,1.9300000000000002
2018-05-30 23:30:00,Philadelphia Union,Chicago Fire,3,1,-1.25,1.97,1.9300000000000002,+3,1.99,1.8900000000000001
2018-05-31 01:30:00,Real Salt Lake,Houston Dynamo,2,1,0,1.8599999999999999,2.04,+3.25,2.02,1.8599999999999999
2018-05-31 02:30:00,Los Angeles Galaxy,FC Dallas,2,3,-0.5,1.8199999999999998,2.08,+2.75,1.8900000000000001,1.98
2018-06-02 01:00:00,Colorado Rapids,Vancouver Whitecaps,1,2,-0.25,1.9300000000000002,1.96,+2.5,1.92,1.96
2018-06-02 21:00:00,Portland Timbers,Los Angeles Galaxy,1,1,-0.75,1.8399999999999999,2.06,+3,1.8599999999999999,2.02
