date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2020-10-07 23:00:00,Atlanta Utd,Orlando City,0,0,-0.25,2.1,1.83,2.75,1.92,1.97,1.5635457566367101,1.4119198843530905
2020-10-07 23:30:00,New England Revolution,Toronto FC,0,1,0.0,1.9,2.01,2.75,1.87,2.02,1.5378508794094663,1.4928941433663185
2020-10-07 23:30:00,Columbus Crew,Club de Foot Montreal,1,2,-1.0,1.85,2.06,3.0,2.06,1.84,2.1198269371694436,0.9639621209990828
2020-10-07 23:30:00,Philadelphia Union,FC Cincinnati,3,0,-0.75,1.98,1.93,2.5,1.97,1.92,1.729920837585346,0.9485734898507898
2020-10-08 00:00:00,Houston Dynamo,FC Dallas,2,0,0.0,1.92,1.99,3.0,1.93,1.95,1.6206494487776917,1.5911030191600126
2020-10-08 00:00:00,New York City,DC United,4,1,-1.5,2.02,1.88,2.75,1.85,2.04,2.2822634830205053,0.7504256716703265
2020-10-08 00:30:00,Sporting Kansas City,Chicago Fire,1,0,-0.75,1.98,1.93,3.25,1.94,1.94,2.1098795510458133,1.3445776215555771
2020-10-08 01:00:00,Colorado Rapids,Los Angeles FC,2,1,-1.25,2.0,1.91,3.0,2.02,1.87,2.2052823950859555,0.9103307170807775
2020-10-08 02:00:00,Seattle Sounders,Real Salt Lake,2,1,-1.25,2.0,1.91,3.0,2.02,1.87,2.2052823950859555,0.9103307170807775
2020-10-08 02:30:00,San Jose Earthquakes,Vancouver Whitecaps,3,0,-1.0,2.08,1.84,3.0,1.85,2.04,2.121875790880363,1.1651508384611762
2020-10-08 02:30:00,Los Angeles Galaxy,Portland Timbers,3,6,-0.25,1.98,1.93,3.0,1.9,1.99,1.7478237924203928,1.4969531289207416
2020-10-10 21:00:00,Inter Miami,Houston Dynamo,1,0,-0.75,1.99,1.92,3.0,1.93,1.96,1.9845814974612446,1.2248670271758637
2020-10-10 22:00:00,Atlanta Utd,New York Red Bulls,0,1,0.0,1.97,1.93,2.75,1.97,1.92,1.4535836315945931,1.4698128516568274
2020-10-10 23:00:00,Colorado Rapids,Los Angeles Galaxy,2,1,0.25,1.94,1.96,2.75,1.93,1.96,1.3493067231515332,1.6191127184546923
2020-10-11 02:00:00,Vancouver Whitecaps,Real Salt Lake,2,1,0.25,1.94,1.96,2.75,1.93,1.96,1.3493067231515332,1.6191127184546923
2020-10-11 20:30:00,New York City,New England Revolution,1,2,-0.75,1.99,1.91,2.75,1.88,2.0,1.8827843337705372,1.1237114891963125
2020-10-11 23:00:00,Los Angeles FC,Seattle Sounders,3,1,-0.25,1.88,2.02,3.0,1.84,2.06,1.827223426139704,1.4821916867485976
2020-10-11 23:30:00,Sporting Kansas City,Nashville SC,2,1,-0.75,1.94,1.96,2.25,1.85,2.05,1.678584326833549,0.8623507546678799
2020-10-11 23:30:00,Philadelphia Union,Club de Foot Montreal,2,1,-1.0,1.93,1.97,3.25,1.99,1.9,2.2389900750613565,1.1604652174936183
2020-10-11 23:30:00,FC Cincinnati,Toronto FC,0,1,0.25,2.03,1.88,2.5,1.96,1.93,1.1753378943637107,1.5255201399231486
